,url,description,gpt3_description
2628,https://abcnews.go.com/International/wireStory/iran-atomic-energy-spokesman-injecting-uranium-gas-advanced-65448334,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.","Get breaking news alerts and special reports. The news and stories that matter, delivered weekday mornings."
2629,https://abcnews.go.com/International/wireStory/iran-atomic-energy-spokesman-warns-tehran-ability-increase-65448335,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",Get breaking news out of Iran as their atomic energy spokesman warns Tehran's ability to increase uranium enrichment if their nuclear deal is not upheld. This could lead to a nuclear arms race in the Middle East.
2630,https://www.cbsnews.com/video/saturday-sessions-j-s-ondara-performs-lebanon/,"As a teenager in Kenya, J.S. Ondara fell in love with American folk music, memorizing parts of Bob Dylan's catalog. By 20, he'd gotten a green card, moved to Dylan's native state of Minnesota, and launched a music career, soon opening for artists like Lindsey…","As a Kenyan-born, Minneapolis-based singer-songwriter, J.S. Ondara draws on the likes of Bob Dylan and Neil Young, as well as the traditional music of his homeland. He performs the song ""Lebanon"" from his 2019 debut album, ""Tales of America"
2631,https://www.irishtimes.com/sport/rugby/international/more-like-the-real-deal-as-ireland-and-wales-reshuffle-their-hands-for-farewell-1.4010448,Johnny Sexton returns on landmark day for captain Rory Best and manager Joe Schmidt,Johnny Sexton will start for Ireland in their final game of the Six Nations against Wales on Saturday. Sexton was a late withdrawal from the game against England due to a head injury.
2632,https://www.bbc.co.uk/news/uk-scotland-edinburgh-east-fife-49621545,"The device, thought to be an antique hand grenade, was found in the Union Canal in Edinburgh.","The device, which is about the size of a credit card, can be inserted into a mobile phone and used to make contactless payments. It can also be used to store loyalty cards and other information."
2633,https://www.bbc.co.uk/sport/rugby-union/49621667,Ireland beat Wales 19-10 in Dublin in the final warm-up game for both sides ahead of the World Cup.,"Ireland beat England 24-12 in the Rugby World Cup final to become world champions for the first time. It was a dominant performance from the Irish, who outscored their opponents three tries to nil."
2634,https://abcnews.go.com/Sports/wireStory/duke-evidence-improper-benefits-zion-williamson-65451604,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.",Get breaking news on Duke University and Zion Williamson. Duke is being investigated by the NCAA for providing improper benefits to Williamson.
2635,https://www.businessinsider.com/wall-street-insider-today-september-7-2019,"Ah, WeWork. The gift that keeps on giving. This week, it was reported that the coworking firm is considering the drastic move of cutting its $47 billion valuation in half before its planned IPO. WeWork's roadshow is reportedly set to kick off next week, but i…","Ah, WeWork. The company that was once valued at $47 billion is now worth less than $8 billion. In this article, Business Insider takes a look at the company's fall from grace."
2636,https://www.irishtimes.com/life-and-style/homes-and-property/ireland-s-defective-buildings-not-just-a-celtic-tiger-problem-1.4007777,"Defects in new buildings can leave owners in huge debt, with little legal recourse","Defects in buildings are not just a problem from the Celtic Tiger era, but something that has been around for much longer. These defects can cause serious problems for homeowners and need to be addressed."
2637,https://af.reuters.com/article/topNews/idAFKCN1VS0FI-OZATP,"Zimbabweans on Saturday mourned the death of their country's founding father Robert Mugabe but confusion swirled about when his body would be returned from abroad or when he would be buried, two years after he was toppled in a coup.","Zimbabweans on social media are sharing their experiences of being stranded in China as the coronavirus outbreak continues to spread. Some have been unable to return home, while others are struggling to find food and shelter."
2638,https://af.reuters.com/article/worldNews/idAFKCN1VS0FO,"Taliban kidnapped six Afghan journalists working for private and government media organisations in eastern Paktia province, government officials and Taliban said on Saturday.","Taliban kidnapped at least 20 people including a district governor and members of his family in northern Afghanistan, officials said on Sunday, the latest in a series of abductions targeting government officials.

The Taliban have been increasingly targeting government officials and civilians in an effort to pressure the Western-backed government in Kabul to"
2639,https://www.irishtimes.com/life-and-style/people/se%C3%A1n-moncrieff-is-originality-dead-perhaps-it-never-existed-in-the-first-place-1.3998706,"It sometimes feels like we’ve run out of stories, and the only option is to return to what was said before","It sometimes seems like everything has been done before, but is that really true? Maybe originality is something that has never really existed."
2640,https://www.cbsnews.com/news/nh-democratic-party-state-convention-live-stream-presidential-primary-candidates-speak-new-hampshire-today-2019/,"Each of the 19 Democratic presidential candidates will be given 7-10 minutes to address the convention Saturday, starting at 9 a.m.",Each of the 2020 Democratic presidential candidates will speak at the New Hampshire state convention today. The convention will be streamed live on CBS News.
2641,https://www.reuters.com/article/us-football-nfl-atl-jones-idUSKCN1VS0KR,"The Atlanta Falcons and wide receiver Julio Jones are working out the final details on a three-year contract extension worth $66 million, according to multiple reports on Saturday.","The Atlanta Falcons have agreed to terms with wide receiver Julio Jones on a three-year, $66 million extension, the team announced on Saturday. The extension includes $64 million guaranteed, a source told ESPN's Adam Schefter."
2642,https://abcnews.go.com/Technology/wireStory/latest-rare-hurricane-felt-canada-65450582,"Weather forecasters expect a weakening Hurricane Dorian to arrive off the southeastern Canada coast with hurricane-force winds, heavy rain, and dangerous storm surge","Weather forecasters are tracking a rare hurricane that is expected to make landfall in Canada later today. The hurricane, which is currently over the Atlantic Ocean, is expected to bring high winds and heavy rain to parts of Nova Scotia."
2643,https://www.bbc.co.uk/sport/av/cricket/49620455,Australia's Mitchell Starc takes his second wicket as England's Ben Stokes edges to Steve Smith at second slip on day four of the fourth Ashes Test.,Australia's Mitchell Starc has been ruled out of the remainder of the Ashes series with a stress fracture in his foot. The left-armer has been in pain for some time and will now return home.
2644,https://www.businessinsider.com/how-to-be-a-vsco-girl-checklist-starter-kit,"VSCO girls have the internet buzzing. The VSCO girl's laidback aesthetic is a crossover between '90s fashion and a surfer lifestyle. While some people are hating on the look, others want to know how to be a VSCO girl. Hint: It requires scrunchies, puka shell …","VSCO girls are taking over the internet with their trendy, yet effortless style. This article provides a checklist of everything you need to become a VSCO girl, from scrunchies and oversized t-shirts to Hydroflasks and film cameras."
2645,http://www.bbc.co.uk/news/world-us-canada-49621836,"US Congress is investigating state dealings with Prestwick Airport, near the president's golf resort.",US Congress is set to vote on a bill that would recognise the Armenian genocide. The vote comes after Turkey recalled its ambassador to the US.
2646,https://www.newsweek.com/ronan-farrow-mit-media-lab-knew-about-jeffrey-epsteins-abuse-accepted-money-anyway-1458176,A new exposé by Ronan Farrow alleges that the M.I.T. Media Lab worked to keep Epstein's donations off the books.,"A new report from Ronan Farrow details the MIT Media Lab's ties to Jeffrey Epstein, and how the Lab continued to take money from Epstein even after they knew about his abuse."
2647,http://us.cnn.com/2019/09/07/us/hurricane-dorian-bahamas-saturday-wxc/index.html,"Nearly a week after Hurricane Dorian turned parts of the northern Bahamas into piles of debris, the nation has only started unraveling the damage.","Nearly a week after Hurricane Dorian made landfall in the Bahamas, the death toll has risen to 50, with the number expected to climb in the coming days. The hurricane has caused widespread damage, leaving many without food, water, or shelter."
2648,https://www.bbc.co.uk/sport/av/football/49620670,Watch highlights as Manchester City beat Manchester United 1-0 in the first derby of the Women's Super League season.,Watch highlights as Liverpool come from behind to beat Tottenham 2-1 and move eight points clear at the top of the Premier League. Roberto Firmino and Trent Alexander-Arnold were on target for the Reds.
2649,https://www.aljazeera.com/news/2019/09/hurricane-dorian-death-toll-tops-40-hundreds-remain-missing-190907092948221.html,"As new death toll of 43 from Hurricane Dorian is confirmed, Bahamas officials warn number will rise 'significantly'.","As new information comes in, the death toll from Hurricane Dorian is now over 40 people with hundreds still missing. The hurricane hit the Bahamas as a category 5 storm and caused widespread damage and destruction."
2650,https://www.irishtimes.com/news/environment/hairy-shoe-plus-crab-washed-up-in-clare-from-carolina-cargo-spill-1.4001199,"Ethna Viney on a slime mould called dog’s vomit, colourful bugs and compass jellyfish","Ethna Viney reports on a hairy shoe and crab that were washed up in Clare from a Carolina cargo spill. The shoe was covered in a ""thick mat"" of hair and the crab was ""missing its claws and legs""."
2651,https://www.reuters.com/article/us-sudan-politics-bashir-idUSKCN1VS0HD,"Sudan's toppled former leader Omar al-Bashir was the only person with a key to a room at the presidential palace holding millions of euros, his last office manager testified on Saturday.","Sudan's toppled President Omar al-Bashir was interrogated on Saturday over suspected money laundering and financing terrorism, a prosecutor said, a day after the army removed him from power following months of protests against his three-decade rule."
2652,https://www.cnn.com/2019/09/06/americas/blind-man-carries-disabled-son-to-safety-during-hurricane/index.html,"After Hurricane Dorian blew the roof off his house on Abaco, the real challenge started for Brent Lowe.","After Hurricane Dorian hit the Bahamas, a blind man was seen carrying his disabled son to safety. The two were among the many who were forced to evacuate their homes due to the storm."
2653,https://www.irishtimes.com/sport/other-sports/us-open-rafael-nadal-has-19th-major-in-sight-after-reaching-final-1.4011280,Spaniard overcame Matteo Berrettini and can now move within one of Federer’s record,Spaniard overcame Italian Matteo Berrettini in straight sets in the semifinal to reach his 12th final at the US Open. Nadal will face first-time Grand Slam finalist Daniil Medvedev in Sunday’s showpiece.
2654,https://www.cbsnews.com/news/iran-news-using-advanced-centrifuges-violating-nuclear-deal-2019-09-07/,Iran has begun using arrays of advanced centrifuges to enrich uranium in violation of its 2015 nuclear deal,"Iran has started using more advanced centrifuges to enrich uranium, in violation of the 2015 nuclear deal. This move puts Iran closer to being able to develop a nuclear weapon."
2655,https://www.nytimes.com/2019/09/06/us/dan-patrick-texas-nra.html,"Dan Patrick, a Republican, has promoted his A-plus grade from the National Rifle Association.",Dan Patrick is the lieutenant governor of Texas. He is a strong supporter of the National Rifle Association and gun rights.
2656,https://www.irishtimes.com/business/technology/we-should-not-get-overly-friendly-with-facebook-1.4010376,"As global regulators scrutinise social network’s activities, we need to tread carefully","As global social media platforms grow in power, it is important to consider the implications of this power. In this article, the author argues that we should not get too friendly with Facebook, as the company has too much control over our personal data."
2657,https://www.irishtimes.com/life-and-style/food-and-drink/recipes/lamb-chop-tray-bake-1.3998971,"1. Place the lamb chops on a large baking tray. Add the onion, fennel, olives, garlic cloves and rosemary. 2. Generously coat with good quality olive oil. Season well with sea salt and black pepper. Add the oregano and other spices and toss everything togethe…","1. Place the lamb chops in a roasting tin and spread over the garlic, olives and lemon zest.
2. Season with salt and pepper, then drizzle over the olive oil and lemon juice."
2658,https://www.businessinsider.com/jeffrey-epstein-brought-eastern-european-models-mit-report-2019-9,"Jeffrey Epstein, the 66-year-old disgraced hedge fund manager, who died from suicide, brought two ""Eastern European"" models to MIT's Media Lab in 2015. Epstein was expected to meet the faculty and discuss ongoing projects for additional funding. As the trip w…","Jeffrey Epstein, a wealthy financier and convicted sex offender, brought Eastern European models to MIT, according to a new report. The report details Epstein's interactions with members of the MIT community, including scientists and students."
2659,https://www.businessinsider.com/costco-obsessed-man-has-a-kirkland-signature-tattoo-2019-9,"Among the hoard of Costco devotees and fanatics, Max Ellinger ranks supreme. The 27-year-old loves the store so much, that he got a tattoo of Costco's in-house Kirkland Signature brand on his arm. He also had his birthday party in the Costco food court in 201…",Among the many fans of Costco is one man who is so obsessed with the store that he got a Kirkland Signature tattoo. The tattoo is a replica of the store's logo and the man says it's a symbol of his love for the store and all it has to offer.
2660,https://www.irishtimes.com/business/transport-and-tourism/mike-rutter-set-to-leave-aer-lingus-as-chief-operating-officer-1.4010407,"Executive joined carrier in 2014, serving in senior operational capacity for four years","Executive joined the company in 2014 from British Airways, where he was director of operations. He will be replaced by Stephen Kavanagh, who is currently chief commercial officer."
2661,https://www.cnn.com/videos/world/2019/09/07/bahamas-resident-hurricane-dorian-tomlinson-blackwell-sot-ndwknd-vpx.cnn,CNN's Victor Blackwell speaks with Bahamas resident Kevin Tomlinson about the aftermath and devastation of Hurricane Dorian.,CNN's Victor Blackwell speaks with a Bahamas resident who rode out Hurricane Dorian in her home. She describes the devastation she's seen and the challenges she and her neighbors face in the aftermath of the storm.
2662,https://www.cnn.com/2019/09/07/us/hurricane-dorian-bahamas-saturday-wxc/index.html,"Nearly a week after Hurricane Dorian turned parts of the northern Bahamas into piles of debris, the nation has only started unraveling the damage.","Nearly a week after Hurricane Dorian made landfall in the Bahamas, the death toll has risen to 50, with the number expected to climb in the coming days. Dorian, which made landfall as a Category 5 hurricane on Sunday, has caused widespread damage and destruction across the Bahamas."
2663,https://www.bbc.co.uk/sport/football/49620168,"After a damaging home defeat to Russia, pick your Scotland team to face Belgium in Euro 2020 qualifying.","After a 1-1 draw with Liverpool, Manchester United manager Ole Gunnar Solskjaer has said that his side are ""not good enough"" and need to ""improve""."
2664,https://www.cbsnews.com/news/the-nsa-prepares-to-defend-2020-elections-drawing-lessons-from-2018-midterms/,"""NSA really had to up its game,"" says Anne Neuberger, head of the new Cybersecurity Directorate",The NSA really stepped up their game for the 2018 midterms and they are planning to do the same for the 2020 elections. They are taking lessons learned from the 2018 midterms and applying them to the 2020 elections.
2665,https://abcnews.go.com/US/wireStory/pain-scuba-diving-deaths-off-california-felt-globe-65452588,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.","Get breaking news alerts and special reports. The news and stories that matter, delivered weekday mornings."
2666,https://www.aljazeera.com/ajimpact/india-space-hopes-dashed-loss-lunar-lander-190906232801548.html,"With 1.3 billion people watching, 'Vikram' fails to make soft landing on moon's South Pole but Modi praises programme.","With 1.3 billion people, India has the world’s second-largest population. And its space agency has lofty ambitions to match, including a plan to put a human on the moon by 2022. But on Friday, those hopes were dealt a blow when the country’s lunar lander,"
2667,https://www.businessinsider.com/jeff-bezos-early-amazon-desk-recycled-door-2019-9,"Amazon's origin story is legendary, and it helped propel a fledgling internet book seller to one of the biggest companies in the world. Whether we're talking about two-pizza meetings or CEO Jeff Bezos' demand for a slightly higher IPO listing price, there are…","Amazon's origin: Jeff Bezos started Amazon in his garage in 1994, and his desk was made out of a recycled door."
2668,https://www.cnn.com/2019/09/06/politics/house-oversight-investigation-trump-turnberry/index.html,"The House Oversight Committee has been investigating for several months whether increased military expenditures benefiting the Trump Turnberry golf course and resort in Scotland represent a conflict of interest for the President, according to committee docume…",The House Oversight Committee has launched an investigation into whether Trump violated the emoluments clause by using his Turnberry resort to host the G-7 summit. The investigation will also look into whether Trump's resort was given preferential treatment by the Scottish government.
2669,https://www.cbsnews.com/live-news/hurricane-dorian-track-path-models-latest-updates-forecast-today-2019-09-07/,"The Bahamas are recovering after Dorian decimated the islands for 48 hours, killing at least 43 people.","The Bahamas are bracing for Hurricane Dorian, which is expected to bring ""catastrophic"" conditions to the islands. The storm is expected to bring heavy rains, high winds, and storm surge to the area."
2670,https://www.businessinsider.com/brex-opens-restaurant-in-san-francisco-2019-9,"Brex, the buzzy credit card startup with a $2.6 billion valuation, is opening a restaurant in San Francisco's South Park neighborhood. The venture-backed startup decided to revive a neighborhood favorite, South Park Cafe, while introducing a whole new menu an…","Brex, the corporate card startup, has opened a restaurant in San Francisco. The restaurant, called ""The Brex Canteen,"" is open to the public and serves breakfast, lunch, and dinner."
2671,https://www.cbsnews.com/news/bugatti-chiron-koenigsegg-inside-the-quest-to-build-the-worlds-fastest-production-car-2019-09-07/,"""It's their Apollo,"" one expert said",It's their mission to build the world's fastest production car. Koenigsegg is a Swedish car company that has been in the business of building high-performance cars since 1994.
2672,https://www.irishtimes.com/life-and-style/food-and-drink/drink/get-a-taste-of-california-without-breaking-the-bank-1.3999893,"For many wine drinkers here in Ireland, California starts and ends with two valleys, Napa and Central. The former is the Rolls-Royce, producing plush, expensive Cabernet Sauvignons that rival the best of Bordeaux in both quality and price; the latter is the e…","For many, wine is a luxurious item that is often out of reach. However, with a little bit of research, it is possible to find quality wines from California that are affordable. This article provides a few tips on how to do just that."
2673,https://www.reuters.com/article/us-filmfestival-venice-the-burnt-orange-idUSKCN1VS0K4,"Rolling Stones frontman Mick Jagger swaps the stage for a film set in ""The Burnt Orange Heresy"", a thriller about a dishonest and greedy art critic desperate for success and recognition.","The Rolling Stones are set to perform at the Venice Film Festival for the premiere of ""The Burnt Orange Heresy"". The movie, directed by Giuseppe Capotondi, is a thriller set in the art world."
2674,https://www.irishtimes.com/life-and-style/travel/ireland/free-public-transport-scheme-if-they-tried-to-take-it-away-we-d-fight-it-1.4009057,"Ireland’s free travel scheme is ‘an extraordinary social programme’, believe older users of bus and rail services","Ireland’s free public transport scheme for young people is under threat, but the young people of Ireland are fighting back. The scheme, which has been in place for two years, has been a success, but the government is now considering scrapping it."
2675,https://www.businessinsider.com/trump-washington-post-reporters-banned-from-white-house-2019-9,"President Donald Trump lashed out at two Washington Post reporters on Twitter, saying that since they wrote a critical story, they ""shouldn't even be allowed"" in the White House. Alongside Trump's tweet was a link to a Washington Examiner op-ed by White House…",President Donald Trump has banned Washington Post reporters from the White House. The decision comes after the Post published an article critical of the Trump administration.
2676,https://www.irishtimes.com/sport/soccer/english-soccer/watford-sack-gracia-after-poor-start-to-season-1.4011354,Watford without a win and bottom of the Premier League,"Watford without Gracia after poor start to season. The former Malaga and Rubin Kazan coach had only been in charge at Vicarage Road since January, but a run of just one win in 11 league games has seen the Hornets slip to 17th in the table."
2677,https://www.irishtimes.com/sport/other-sports/ronan-byrne-through-to-final-in-greece-1.4011316,Byrne wins his repechage in the single sculls,Byrne wins through to final in Greece. The Irishman will face Spain's Adrian Menendez-Maceiras in the final on Sunday.
2678,https://www.irishtimes.com/news/world/uk/brexit-brinkmanship-will-boris-johnson-s-bad-week-get-even-worse-1.4009962,"The British PM is perilously close to having to delay Brexit, break the law or resign","The British are in the midst of a political crisis as Prime Minister Boris Johnson faces mounting pressure to resign. Johnson has been facing criticism from all sides this week, and it is unclear how much longer he will be able to hold on to his position."
2679,https://www.businessinsider.com/chase-ink-business-unlimited-credit-card-review,"If you're a small-business owner looking for a good credit card with no annual fee, the Ink Business Unlimited Card is a great choice. It earns you 1.5% on every purchase, and you can redeem you rewards as cash-back statement credits on your account. If you'r…","If you're looking for a business credit card with no annual fee, the Chase Ink Business Unlimited Credit Card is a good option. It offers a $500 sign-up bonus and 1.5% cash back on every purchase."
2680,https://www.cnn.com/us/live-news/bahamas-hurricane-dorian/index.html,"At least 30 people in the Bahamas were killed by Hurricane Dorian, and officials expect that number to rise as recovery efforts continue. Follow here for the latest.","At least 20 people have died and 70,000 are in need of humanitarian assistance in the Bahamas after Hurricane Dorian, according to the country's National Emergency Management Agency. The hurricane has since moved north, and is currently a Category 2 storm off the coast of Florida."
2681,https://www.reuters.com/article/us-libya-security-idUSKCN1VS0IW,"At least three fighters aligned with Libya's U.N.-backed Government of National Accord (GNA) were killed in an offensive on Saturday aimed at pushing back eastern forces led by commander Khalifa Haftar, a witness said.","At least four people were killed and 15 wounded in a suicide bombing in the Libyan city of Benghazi on Saturday, a security official said. The attack took place near a mosque in the al-Salmani district of the city."
2682,https://www.bbc.co.uk/news/world-africa-49619144,Days of national mourning commence in Zimbabwe for its controversial former leader.,"Days of heavy rain have caused severe flooding in Sudan, leaving at least 60 people dead and more than 100,000 homeless. The Sudanese government has declared a state of emergency in the worst-affected areas."
2683,https://www.irishtimes.com/							/life-and-style/homes-and-property/make-a-move-to-ringsend-1.4005265	,"Despite seismic demographic changes, Ringsend retains its community spirit","Despite seismic changes in the area, Ringsend remains a tight-knit community with a strong sense of identity. The area has seen a surge in popularity in recent years, with buyers drawn to its proximity to the city centre and its excellent transport links."
2684,https://www.irishtimes.com/sport/rugby/international/all-blacks-play-with-14-men-with-eye-on-world-cup-1.4011306,New Zealand experiment during thrashing of Tonga,"New Zealand were playing with 14 men for a period of the game, with one player in the sin bin. This was a strategic move, as they were trying to preserve their energy for the World Cup."
2685,https://www.cnn.com/style/article/isleworth-mona-lisa/index.html,"With her straight dark hair and beguiling smile, the so-called ""Isleworth Mona Lisa"" bears an uncanny resemblance to her namesake in the Louvre.","With her captivating smile and mysterious aura, the Mona Lisa is one of the most famous paintings in the world. But there's more to the painting than meets the eye."
2686,https://in.reuters.com/article/afghanistan-media-idINKCN1VS0F0,"Taliban kidnapped six Afghan journalists working for private and government media organisations in eastern Paktia province, government officials and Taliban said on Saturday.","Taliban kidnapped Afghan journalist Zabihullah Tamanna on Sunday, a media watchdog said, the latest in a series of abductions and killings of journalists in the country. The Taliban have not commented."
2687,https://in.reuters.com/article/india-kashmir-adviser-idINKCN1VS0D1,"More than 200 suspected militants are trying to cross into Indian Kashmir from Pakistan, India's national security adviser said on Saturday, accusing Islamabad of trying to stoke violence in the region.",More than a dozen people were killed and over 150 wounded in Indian-controlled Kashmir on Sunday in one of the deadliest days of protests in recent years. The violence erupted after Indian security forces killed a young separatist leader.
2688,https://www.irishtimes.com/news/politics/we-miss-you-taoiseach-leads-tributes-to-noel-whelan-at-kennedy-summer-school-1.4011341,Commentator and school founder died at age of 50 in July,Commentator and lawyer Noel Whelan has died at the age of 50. Whelan was a regular contributor to the Irish Times and was a leading voice on constitutional and political affairs.
2689,https://www.irishtimes.com/life-and-style/food-and-drink/irish-farmhouse-apple-pie-a-nurturing-dessert-loved-by-all-ages-1.4000078,"Is there anything more homely than apple pie? It must be one of the most nurturing desserts, loved by adults and children alike. The aroma of a freshly baked apple pie takes me right back to my childhood. I would be sent out into my grandfather’s garden and f…",Is there anything more comforting than a warm slice of apple pie? This article is all about the history of the Irish farmhouse apple pie and how it has become a cherished dessert loved by all ages.
